seed_tag,layer,n_points,pca_dim,h1_sum_observed,h1_sum_null_mean,h1_sum_null_std,h1_sum_delta,h1_sum_z,h1_sum_p_perm,h1_max_observed,h1_count_observed
seed42_main,0,350,20,61.77014636993408,46.54072618484497,6.047657279822726,15.229420185089111,2.5182346614418756,0.047619047619047616,1.4335565567016602,187
seed43,0,350,20,61.97509431838989,44.114707338809964,6.113890771235121,17.86038697957993,2.9212800236289658,0.047619047619047616,1.478614330291748,178
seed44,0,350,20,65.18658661842346,42.46784782409668,5.409938347763068,22.718738794326782,4.199445045343485,0.047619047619047616,1.3269877433776855,184
seed42_main,1,350,20,46.566168785095215,37.63172467947006,5.290307646352359,8.934444105625154,1.6888326163973804,0.09523809523809523,1.048436164855957,166
seed43,1,350,20,51.44103503227234,31.760592687129975,4.272472306801855,19.680442345142364,4.606335846625478,0.047619047619047616,1.0414252281188965,170
seed44,1,350,20,58.04388618469238,41.09312415122986,5.459870642331779,16.950762033462524,3.1046087244145135,0.047619047619047616,1.3665351867675781,198
seed42_main,2,350,20,45.45723223686218,38.179464077949525,4.255254866691995,7.277768158912657,1.710301353314717,0.09523809523809523,1.4849214553833008,171
seed43,2,350,20,48.6833381652832,36.150361597537994,5.661089632832678,12.532976567745209,2.213880609281241,0.047619047619047616,1.24800443649292,157
seed44,2,350,20,48.741783142089844,36.45768394470215,6.2056485641502235,12.284099197387697,1.9795028784538218,0.047619047619047616,1.7286944389343262,180
seed42_main,3,350,20,56.853506088256836,39.96385315656662,5.238070637707115,16.889652931690215,3.2244034295534045,0.047619047619047616,1.2114319801330566,187
seed43,3,350,20,42.69595718383789,32.79046839475632,5.123700160969752,9.905488789081573,1.9332686293011951,0.09523809523809523,1.0717968940734863,158
seed44,3,350,20,41.817862033843994,32.40027253627777,4.320103864986134,9.417589497566226,2.179945156345566,0.047619047619047616,1.0293374061584473,153
seed42_main,4,350,20,52.82945775985718,38.8631977558136,5.689318281175522,13.966260004043576,2.454821353166246,0.047619047619047616,1.381880760192871,180
seed43,4,350,20,39.86758208274841,31.30726408958435,3.7154871243065286,8.560317993164062,2.3039557679688727,0.047619047619047616,1.0743043422698975,152
seed44,4,350,20,47.1314001083374,33.79510613679886,4.3420823123275785,13.336293971538545,3.0714051483096374,0.047619047619047616,1.1819090843200684,176
seed42_main,5,350,20,39.75286936759949,33.573527336120605,3.4628327759298543,6.179342031478882,1.7844760141601417,0.09523809523809523,1.0303382873535156,146
seed43,5,350,20,40.79871606826782,34.93654671907425,3.9585653962358016,5.862169349193572,1.4808822795467833,0.14285714285714285,0.9712023735046387,157
seed44,5,350,20,42.060702085494995,31.44310872554779,4.922530544456601,10.617593359947204,2.156938034594226,0.09523809523809523,1.1191821098327637,150
seed42_main,6,350,20,40.89174675941467,35.01178163290024,4.401991640164307,5.879965126514435,1.3357510885593618,0.19047619047619047,1.2091646194458008,153
seed43,6,350,20,36.147006034851074,28.314083522558214,3.546853444066258,7.8329225122928605,2.2084144816269777,0.047619047619047616,1.0828170776367188,146
seed44,6,350,20,38.47796058654785,28.60633674263954,3.2332253760714593,9.87162384390831,3.0531814806085915,0.047619047619047616,1.0317351818084717,158
seed42_main,7,350,20,43.713024616241455,33.8835551738739,3.633371553006277,9.829469442367554,2.7053301035313195,0.047619047619047616,1.0317015647888184,154
seed43,7,350,20,40.09462261199951,30.21095895767212,2.8496754624347322,9.883663654327393,3.4683471086965634,0.047619047619047616,1.2983484268188477,136
seed44,7,350,20,45.788203716278076,33.31882517337799,2.9801092488056784,12.469378542900088,4.184201818679355,0.047619047619047616,1.0551247596740723,175
seed42_main,8,350,20,48.363353967666626,36.85042803287506,3.9751214056642823,11.512925934791568,2.896245109769521,0.047619047619047616,1.2083394527435303,182
seed43,8,350,20,37.46100950241089,30.348905289173125,4.340462422541534,7.112104213237764,1.6385591025194848,0.09523809523809523,1.0374815464019775,163
seed44,8,350,20,43.85801386833191,29.042330348491667,3.1260296109886716,14.815683519840242,4.739457189727329,0.047619047619047616,1.443544864654541,148
seed42_main,9,350,20,46.46622967720032,31.916489553451537,3.334038420619967,14.54974012374878,4.363998935764887,0.047619047619047616,0.9823737144470215,201
seed43,9,350,20,32.75825548171997,25.283396047353744,2.823342929795759,7.474859434366227,2.6475209060981615,0.047619047619047616,0.969735860824585,140
seed44,9,350,20,41.14261531829834,27.574007958173752,3.5636809553426296,13.568607360124588,3.80746972760713,0.047619047619047616,1.0952916145324707,175
seed42_main,10,350,20,32.228124380111694,27.480055892467497,3.736264304082983,4.748068487644197,1.2708063723395344,0.09523809523809523,0.6942460536956787,184
seed43,10,350,20,28.715407729148865,22.431669580936433,2.640090136272407,6.283738148212432,2.380122579717842,0.047619047619047616,0.8636324405670166,156
seed44,10,350,20,32.04692614078522,23.35725517272949,2.0905522550703557,8.689670968055726,4.156638966006924,0.047619047619047616,0.6948962211608887,176
seed42_main,11,350,20,21.681880950927734,22.221353566646577,3.2359966023555464,-0.539472615718843,-0.16670988318079202,0.5714285714285714,0.5524115562438965,172
seed43,11,350,20,22.304423689842224,16.262435626983642,1.6708649105123479,6.041988062858582,3.616084113819713,0.047619047619047616,0.6277098655700684,155
seed44,11,350,20,21.605995655059814,18.530358576774596,1.8569186120624246,3.0756370782852187,1.6563122673496644,0.09523809523809523,0.3967890739440918,169
