domain,n_features,features,spearman_rho,cosine_similarity,perm_null_size,p_perm_spearman,p_perm_cosine,scgpt_delta_cv_auroc_vector,geneformer_delta_cv_auroc_vector
external_lung,3,centered_cosine|dot|cosine,1.0,0.7463661900847525,6,0.2857142857142857,0.2857142857142857,0.001288|-0.000091|0.000645,0.046262|0.044638|0.044686
immune,3,centered_cosine|dot|cosine,0.5,0.9977328536281844,6,0.5714285714285714,0.42857142857142855,0.026215|0.025497|0.023444,0.047939|0.039853|0.041440
lung,3,centered_cosine|dot|cosine,1.0,0.7302708164080246,6,0.2857142857142857,0.2857142857142857,0.007933|0.003331|-0.000386,0.039342|0.039257|0.039200
