domain,split_regime,n_rows,mean_auc_two_axis,mean_auc_directed_baseline,mean_delta_auc_two_axis_minus_baseline,mean_delta_auc_two_axis_minus_one_axis,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,6,0.7779208851621693,0.8071993155822601,-0.0292784304200908,-0.002612313728277212,0.0,0.0,0.0021284345279349677
external_lung,target_disjoint,6,0.7687720610771098,0.7995998697391288,-0.030827808662018896,-0.010388286837891855,0.0,0.0,0.0021284345279349677
immune,source_disjoint,6,0.8500646343569319,0.8801031232482638,-0.030038488891331816,0.003770308132463429,0.0,0.0,0.0021284345279349677
immune,target_disjoint,6,0.8289081074274715,0.8750587743520687,-0.04615066692459737,0.006955537888058157,0.0,0.0,0.0021284345279349677
lung,source_disjoint,6,0.7708983718224101,0.7972318107468473,-0.026333438924437274,0.004130960673909834,0.0,0.0,0.0021284345279349677
lung,target_disjoint,6,0.76306526877391,0.7914465016165465,-0.0283812328426364,0.00018863543793196103,0.0,0.0,0.0021284345279349677
