domain,split_regime,n_rows,mean_auc_id_interaction,mean_auc_directed_geodesic_baseline,mean_delta_auc_id_interaction_minus_baseline,fraction_delta_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,9,0.6906833409347007,0.8226927744899045,-0.13200943355520378,0.0,0.0,0.678198903220973
external_lung,target_disjoint,9,0.6914693312035377,0.8149969046868282,-0.12352757348329041,0.0,0.0,0.9314568347990184
immune,source_disjoint,9,0.7358012501865365,0.8889410373980188,-0.1531397872114822,0.0,0.0,0.4967134929283562
immune,target_disjoint,9,0.7251884605393655,0.8800327645969788,-0.1548443040576132,0.0,0.0,0.06850042169905743
lung,source_disjoint,9,0.6944368740941659,0.8034529701289668,-0.10901609603480095,0.0,0.0,0.9749664460208624
lung,target_disjoint,9,0.6947759305005393,0.812805683507927,-0.1180297530073875,0.0,0.0,0.6979774289389995
