null_kind,domain,seed_tag,split_regime,transition_from,transition_to,perm_idx,null_delta_auc
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,0,-0.11022889900468147
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,1,-0.09497974595525505
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,2,-0.11686705099491412
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,3,-0.11063317135487827
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,4,-0.11414225535458711
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,5,-0.1125009096127878
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,6,-0.12229238593455638
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,7,-0.11254942229481146
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,8,-0.1131154035850872
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,9,-0.10966291771440562
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,10,-0.10270134784401541
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,0,3,11,-0.09801178858173165
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,0,-0.11180556117044949
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,1,-0.10141576177038947
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,2,-0.11614744621156392
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,3,-0.1210876543309698
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,4,-0.10948503788031938
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,5,-0.10075275511606674
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,6,-0.1010519166552124
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,7,-0.10228090459981087
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,8,-0.10671981500497263
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,9,-0.08644959936610097
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,10,-0.09640278462794827
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,3,7,11,-0.10093063495015331
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,0,-0.1008982931621375
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,1,-0.11366521398135487
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,2,-0.11503973997202432
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,3,-0.10722919816622045
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,4,-0.11981823915135148
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,5,-0.13186555518721854
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,6,-0.10433460813881101
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,7,-0.10042933723590908
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,8,-0.11647086409172125
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,9,-0.12838072752852148
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,10,-0.11836285869064267
interaction_partner_shuffle,external_lung,seed42_main,source_disjoint,7,11,11,-0.12828370216447416
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,0,-0.09498898558784807
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,1,-0.10372230646569891
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,2,-0.11488010149769934
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,3,-0.11153450096240314
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,4,-0.1049084739282129
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,5,-0.10096761719377989
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,6,-0.10736336263268353
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,7,-0.1038613444100227
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,8,-0.11330288981677406
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,9,-0.10574270159415688
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,10,-0.10950107102666484
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,0,3,11,-0.09827810195826248
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,0,-0.09907322520236528
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,1,-0.11010067216156205
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,2,-0.11004853293244055
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,3,-0.10652479003097937
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,4,-0.11436305414224457
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,5,-0.1018496391530852
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,6,-0.10148466454923455
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,7,-0.10202343658349011
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,8,-0.10893188444208857
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,9,-0.09599701068419686
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,10,-0.10238841118734054
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,3,7,11,-0.10264910733294808
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,0,-0.10662037861770202
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,1,-0.11727416110152811
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,2,-0.08678574687273233
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,3,-0.11581860762188634
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,4,-0.10352243942073303
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,5,-0.0988733581573995
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,6,-0.10953583051274585
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,7,-0.10723735949563984
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,8,-0.10300104712951819
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,9,-0.1111000073863907
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,10,-0.11273804816795763
interaction_partner_shuffle,external_lung,seed42_main,target_disjoint,7,11,11,-0.10320091417448396
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,0,-0.11638256835301164
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,1,-0.11749029113561127
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,2,-0.10446477441551327
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,3,-0.11121536737300286
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,4,-0.11365887351109027
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,5,-0.10890218156228015
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,6,-0.0937785075716111
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,7,-0.10598300622931156
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,8,-0.11384783798576903
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,9,-0.12115229233455838
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,10,-0.11077227825996294
interaction_partner_shuffle,external_lung,seed43,source_disjoint,0,3,11,-0.11173664868246158
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,0,-0.11262282690854108
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,1,-0.10916282221700935
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,2,-0.10260119373419863
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,3,-0.11418015482054888
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,4,-0.10987958401751496
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,5,-0.11649985664763973
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,6,-0.09626762582427595
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,7,-0.10735788568300875
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,8,-0.11487736857194963
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,9,-0.11603721948549517
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,10,-0.1057549456564234
interaction_partner_shuffle,external_lung,seed43,source_disjoint,3,7,11,-0.10477754320118837
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,0,-0.11313759220163178
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,1,-0.1168712695806291
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,2,-0.11348945708551628
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,3,-0.12692548283681282
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,4,-0.12208408267521575
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,5,-0.12665832616571526
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,6,-0.12560273151406165
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,7,-0.12140641697291943
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,8,-0.12375869888185165
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,9,-0.12270962024656606
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,10,-0.11921703547319329
interaction_partner_shuffle,external_lung,seed43,source_disjoint,7,11,11,-0.13388458831808592
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,0,-0.10596997419657517
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,1,-0.11048138467209534
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,2,-0.1076957876746758
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,3,-0.11078717201166177
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,4,-0.10096008846888505
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,5,-0.11865805435474674
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,6,-0.11421366576187131
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,7,-0.11410475520257357
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,8,-0.11211504306155962
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,9,-0.11241664153346065
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,10,-0.11273080660835755
interaction_partner_shuffle,external_lung,seed43,target_disjoint,0,3,11,-0.11775744780670894
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,0,-0.11333819241982512
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,1,-0.11667253108139808
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,2,-0.11471632988170655
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,3,-0.11509332797158289
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,4,-0.11876277604637919
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,5,-0.11148252404410042
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,6,-0.11407543312891677
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,7,-0.12220602526724988
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,8,-0.1183648336181764
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,9,-0.11868318756073881
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,10,-0.12051791159813696
interaction_partner_shuffle,external_lung,seed43,target_disjoint,3,7,11,-0.1231862203009284
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,0,-0.11440635367447471
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,1,-0.11738463858449788
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,2,-0.11971783787406587
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,3,-0.1289124023993835
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,4,-0.11523993833986801
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,5,-0.13253996179752692
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,6,-0.1257121075030999
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,7,-0.11783703629234954
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,8,-0.10780469823397343
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,9,-0.11543262625247153
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,10,-0.1097944103749875
interaction_partner_shuffle,external_lung,seed43,target_disjoint,7,11,11,-0.11317482658087874
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,0,-0.111760516172281
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,1,-0.12562845651080956
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,2,-0.14262471370314522
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,3,-0.12714373498687237
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,4,-0.12976230378191178
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,5,-0.1267387296799063
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,6,-0.11569186078990013
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,7,-0.12341489302273623
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,8,-0.12185771744595286
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,9,-0.13305820903860122
interaction_partner_shuffle,external_lung,seed44,source_disjoint,0,3,10,-0.12393860678174407
