domain,split_regime,n_rows,mean_auc_transfer,mean_auc_baseline,mean_delta_auc_transfer_minus_baseline,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,2,0.7405460211748633,0.8735132769808743,-0.132967255806011,0.1544340206625682,0.0,1.0,1.0,0.011900402639578249
external_lung,target_disjoint,2,0.7646256244861822,0.8754094732182381,-0.11078384873205599,0.14668611269208864,0.0,1.0,1.0,0.011900402639578249
immune,source_disjoint,2,0.8025706429320887,0.8496237201056478,-0.04705307717355911,0.1269507889989816,0.0,1.0,1.0,0.011900402639578249
immune,target_disjoint,2,0.8320375712375994,0.8813102441426863,-0.04927267290508697,0.1961860034240952,0.0,1.0,1.0,0.011900402639578249
lung,source_disjoint,2,0.731372726807743,0.8651115264971334,-0.1337387996893904,0.1135597574641613,0.0,1.0,1.0,0.011900402639578249
lung,target_disjoint,2,0.7288728018393091,0.8672714844963648,-0.13839868265705574,0.082444036226931,0.0,1.0,1.0,0.011900402639578249
