domain,split_regime,layer,diffusion_t,n_edges,n_positive,positive_rate,mean_prior_support_count,mean_dorothea_support,mean_go_shared,mean_source_is_tf,mean_trrust_support_bookkeeping,auc_baseline,auc_full,auc_delta_full_minus_baseline,interaction_coef,p_interaction_upper,p_auc_delta_upper,ci95_interaction_low,ci95_interaction_high,ci95_auc_delta_low,ci95_auc_delta_high
external_lung,source_disjoint,3,1,2628,1244,0.4733637747336377,1.8961187214611872,0.19710806697108066,0.9634703196347032,0.7355403348554034,0.4733637747336377,0.8612487338066649,0.8622773706856495,0.001028636878984579,-0.20074586322716026,1.0,0.016574585635359115,-0.3201231249316492,-0.09800713976242886,-0.0001932117834588742,0.0035107560147735646
external_lung,target_disjoint,3,1,3012,1519,0.5043160690571049,1.9641434262948207,0.23173970783532535,0.9694555112881806,0.7629482071713147,0.5043160690571049,0.8595054295512038,0.8621973863546671,0.0026919568034633468,-0.2592720898434831,1.0,0.0055248618784530384,-0.3693104348262511,-0.13891493278350475,0.0007703229920730554,0.005284544107835321
immune,source_disjoint,0,1,1527,364,0.2383759004584152,1.9698755730189914,0.14538310412573674,0.9318925998690243,0.8925998690242305,0.2383759004584152,0.8505959861290903,0.8503609460187276,-0.00023504011036268313,-0.4162283951852064,1.0,0.7403314917127072,-0.9351944442099303,-0.0767020321050202,-0.0016242802221115738,0.00428824178388756
immune,target_disjoint,0,1,1465,357,0.24368600682593858,1.8907849829351535,0.14266211604095563,0.8723549488054607,0.8757679180887372,0.24368600682593858,0.8594712253132301,0.8596987531474684,0.0002275278342382947,0.07247669986312623,0.24861878453038674,0.569060773480663,-0.23357939894881652,0.38602424617596454,-0.0005514872077560351,0.001804432580352189
lung,source_disjoint,0,1,2398,1120,0.4670558798999166,1.8398665554628857,0.16680567139282734,0.9899916597164303,0.683069224353628,0.4670558798999166,0.8739506483344512,0.8743282612340711,0.00037761289961990574,-0.09840000452573812,0.9779005524861878,0.12154696132596685,-0.2169792176885624,0.03150539301613523,-0.00015337103212104407,0.001770026295283714
lung,target_disjoint,0,1,2533,1212,0.47848401105408606,1.94749309119621,0.22463482037110147,0.9593367548361627,0.7635215159889459,0.47848401105408606,0.86278709248669,0.8627802220040324,-6.870482657683752e-06,-0.06240410419169942,0.8674033149171271,0.7237569060773481,-0.1757977819001095,0.03740994253198815,-0.00044061226511388495,0.0010574535867745234
