domain,n_rows,mean_best_diffusion_auc,mean_best_baseline_auc,mean_delta_best_diffusion_minus_best_baseline,fraction_positive_delta,fraction_p_lt_0_05,combined_fisher_p_delta_upper,median_best_diffusion_t
external_lung,24,0.5422007811966378,0.5313182712302605,0.010882509966377263,0.875,0.16666666666666666,7.071769446742108e-05,1
immune,24,0.6082663942253946,0.5921956358861915,0.01607075833920306,0.7916666666666666,0.3333333333333333,1.2969368956032588e-05,1
lung,24,0.5522151737952329,0.5273142992128936,0.024900874582339222,0.9166666666666666,0.5,1.0675644199717739e-11,1
