domain,split_regime,layer,diffusion_t,source,target,source_idx,target_idx,label,diffusion_score,geodesic_score,euclidean_score,prior_support_count,dorothea_support,go_shared,source_is_tf,trrust_support_bookkeeping,source_degree,target_degree,mean_degree
external_lung,source_disjoint,3,1,ARX,ZNF148,890,1068,0,-0.23636921289454663,-9.078783976064669,-9.078783976064669,2,0,1,1,0,7.0,5.0,6.0
external_lung,source_disjoint,3,1,ASCL1,CYP1A1,960,5425,0,-1.0151951067094427,-20.01486618360704,-20.01486618360704,2,0,1,1,0,5.0,17.0,11.0
external_lung,source_disjoint,3,1,ASCL1,HDAC2,960,596,0,-0.2585124055326116,-9.292754414290078,-9.292754414290078,2,0,1,1,0,5.0,9.0,7.0
external_lung,source_disjoint,3,1,ASCL1,MSMB,960,1618,0,-0.232876081698626,-7.750998519074033,-7.750998519074033,2,0,1,1,0,5.0,14.0,9.5
external_lung,source_disjoint,3,1,ASCL1,SMAD4,960,2751,0,-0.24731685613760868,-10.771441103817827,-10.771441103817827,2,0,1,1,0,5.0,12.0,8.5
external_lung,source_disjoint,3,1,ASCL1,ZHX2,960,3849,0,-0.23658614821832094,-9.015683368652953,-9.015683368652953,2,0,1,1,0,5.0,5.0,5.0
external_lung,source_disjoint,3,1,ASH1L,EPAS1,502,1122,0,-0.254657632991291,-10.872240641035287,-10.872240641035287,2,0,1,1,0,5.0,9.0,7.0
external_lung,source_disjoint,3,1,ASH1L,NEAT1,502,1019,0,-0.22179928912214705,-8.415918810284143,-8.415918810284143,1,0,0,1,0,5.0,7.0,6.0
external_lung,source_disjoint,3,1,ASH1L,RB1,502,4000,0,-0.13752831899050086,-3.8820500538597567,-3.8820500538597567,2,0,1,1,0,5.0,8.0,6.5
external_lung,source_disjoint,3,1,ASH1L,SOD1,502,3205,0,-0.1985934599383708,-6.377310849596967,-6.377310849596967,2,0,1,1,0,5.0,15.0,10.0
external_lung,source_disjoint,3,1,ASH1L,TGFB1,502,6688,1,-0.2338813096087069,-9.236992028178982,-9.236992028178982,2,0,1,1,1,5.0,17.0,11.0
external_lung,source_disjoint,3,1,ASXL1,TP63,45,412,0,-1.01439604077203,-20.33594721447628,-20.33594721447628,1,0,1,0,0,1.0,10.0,5.5
external_lung,source_disjoint,3,1,ATF1,BCL2,728,4340,1,-0.21702821613878406,-8.22283980645977,-8.22283980645977,3,1,1,1,1,8.0,24.0,16.0
external_lung,source_disjoint,3,1,ATF1,CFTR,728,5344,1,-0.2325401152683217,-9.054850594288535,-9.054850594288535,3,1,1,1,1,8.0,14.0,11.0
external_lung,source_disjoint,3,1,ATF1,ERBB2,728,6520,1,-0.2412704004632299,-8.935230867302925,-8.935230867302925,3,1,1,1,1,8.0,22.0,15.0
external_lung,source_disjoint,3,1,ATF1,GABPA,728,2927,1,-0.14255570048087254,-3.082394430745384,-3.082394430745384,2,0,1,1,1,8.0,7.0,7.5
external_lung,source_disjoint,3,1,ATF1,IL10,728,3082,1,-1.0106742696994968,-20.216657678315244,-20.216657678315244,3,1,1,1,1,8.0,16.0,12.0
external_lung,source_disjoint,3,1,ATF1,MITF,728,1065,1,-0.21808270558302895,-7.813805022514927,-7.813805022514927,2,0,1,1,1,8.0,7.0,7.5
external_lung,source_disjoint,3,1,ATF1,PAX8,728,3667,0,-0.18125554619047649,-7.425974338143923,-7.425974338143923,2,0,1,1,0,8.0,7.0,7.5
external_lung,source_disjoint,3,1,ATF1,STAT1,728,735,0,-0.23961928177119318,-8.056637781307378,-8.056637781307378,2,0,1,1,0,8.0,13.0,10.5
external_lung,source_disjoint,3,1,ATF2,APOC3,3,6374,1,-1.016045910071662,-20.319729033947592,-20.319729033947592,3,1,1,1,1,12.0,16.0,14.0
external_lung,source_disjoint,3,1,ATF2,ATF3,3,2809,1,-0.2703570519470996,-11.997110112530336,-11.997110112530336,3,1,1,1,1,12.0,6.0,9.0
external_lung,source_disjoint,3,1,ATF2,CCND1,3,2728,1,-0.2439163249072276,-9.775818285183375,-9.775818285183375,3,1,1,1,1,12.0,37.0,24.5
external_lung,source_disjoint,3,1,ATF2,CDKN1A,3,307,1,-0.24793676219456365,-11.454876436843726,-11.454876436843726,3,1,1,1,1,12.0,60.0,36.0
external_lung,source_disjoint,3,1,ATF2,FAS,3,1379,1,-0.25316828667352326,-9.919316964176055,-9.919316964176055,2,0,1,1,1,12.0,15.0,13.5
external_lung,source_disjoint,3,1,ATF2,IFNG,3,2385,1,-0.2741586891106703,-12.878301129830643,-12.878301129830643,3,1,1,1,1,12.0,21.0,16.5
external_lung,source_disjoint,3,1,ATF2,JUN,3,6756,1,-0.27108126185701087,-10.788695399082625,-10.788695399082625,3,1,1,1,1,12.0,23.0,17.5
external_lung,source_disjoint,3,1,ATF2,MMP2,3,5854,1,-0.257367921144978,-10.096647155615193,-10.096647155615193,3,1,1,1,1,12.0,20.0,16.0
external_lung,source_disjoint,3,1,ATF2,NFKB2,3,3644,0,-0.26294680071102067,-10.370548448034583,-10.370548448034583,2,0,1,1,0,12.0,8.0,10.0
external_lung,source_disjoint,3,1,ATF2,PLAU,3,6484,1,-0.26752416028589143,-11.992993833943203,-11.992993833943203,2,0,1,1,1,12.0,19.0,15.5
external_lung,source_disjoint,3,1,ATF2,PTGS2,3,7549,1,-0.24868971905996662,-10.772979291496709,-10.772979291496709,3,1,1,1,1,12.0,23.0,17.5
external_lung,source_disjoint,3,1,ATF2,RELA,3,1373,1,-0.24861641044338592,-7.684278885679925,-7.684278885679925,2,0,1,1,1,12.0,14.0,13.0
external_lung,source_disjoint,3,1,ATF3,DDIT3,2809,2439,1,-0.23355407669893707,-6.907837098793585,-6.907837098793585,3,1,1,1,1,7.0,9.0,8.0
external_lung,source_disjoint,3,1,ATF3,HMGA2,2809,420,0,-0.2676294024894957,-10.39837049601897,-10.39837049601897,2,0,1,1,0,7.0,6.0,6.5
external_lung,source_disjoint,3,1,ATF3,ID1,2809,1799,1,-0.1711349464800931,-6.4941923945497795,-6.4941923945497795,3,1,1,1,1,7.0,3.0,5.0
external_lung,source_disjoint,3,1,ATF3,IFNG,2809,2385,1,-0.24024003979871153,-8.967658662008313,-8.967658662008313,2,0,1,1,1,7.0,21.0,14.0
external_lung,source_disjoint,3,1,ATF3,MMP2,2809,5854,1,-0.2636676571701746,-10.423323947444873,-10.423323947444873,2,0,1,1,1,7.0,20.0,13.5
external_lung,source_disjoint,3,1,ATF3,NR3C1,2809,2034,0,-0.23594951001763068,-9.788512595620158,-9.788512595620158,2,0,1,1,0,7.0,12.0,9.5
external_lung,source_disjoint,3,1,ATF3,TP53,2809,8046,1,-0.2517323302392258,-9.99507969151149,-9.99507969151149,2,0,1,1,1,7.0,25.0,16.0
external_lung,source_disjoint,3,1,ATF6,DDIT3,3492,2439,1,-0.24716484589585327,-9.087693289201475,-9.087693289201475,3,1,1,1,1,7.0,9.0,8.0
external_lung,source_disjoint,3,1,ATF6,HMGA2,3492,420,0,-0.2595024001030837,-10.55872223289566,-10.55872223289566,2,0,1,1,0,7.0,6.0,6.5
external_lung,source_disjoint,3,1,ATF6,MITF,3492,1065,0,-0.24600615569208426,-7.869357180516203,-7.869357180516203,2,0,1,1,0,7.0,7.0,7.0
external_lung,source_disjoint,3,1,ATF6,NR0B2,3492,1720,1,-0.2748873772297947,-11.694233579355528,-11.694233579355528,2,0,1,1,1,7.0,7.0,7.0
external_lung,source_disjoint,3,1,ATF6,PLAU,3492,6484,0,-0.269652121155984,-12.161099306487273,-12.161099306487273,2,0,1,1,0,7.0,19.0,13.0
external_lung,source_disjoint,3,1,ATF6,SIM2,3492,2433,0,-1.0166082733681652,-20.21344415856853,-20.21344415856853,2,0,1,1,0,7.0,7.0,7.0
external_lung,source_disjoint,3,1,ATF6,SRF,3492,3254,1,-0.25121001382855684,-8.437132400492919,-8.437132400492919,3,1,1,1,1,7.0,8.0,7.5
external_lung,source_disjoint,3,1,ATOH1,GATA3,1063,2421,0,-1.0208925431752218,-19.80817366686446,-19.80817366686446,2,0,1,1,0,2.0,9.0,5.5
external_lung,source_disjoint,3,1,ATOH1,RXRA,1063,354,0,-1.0139659594271162,-20.010433988362937,-20.010433988362937,2,0,1,1,0,2.0,5.0,3.5
external_lung,source_disjoint,3,1,ATRX,CTNNB1,1971,750,0,-0.1965711431178835,-6.051181300781405,-6.051181300781405,1,0,1,0,0,3.0,14.0,8.5
external_lung,source_disjoint,3,1,ATRX,E2F3,1971,220,0,-0.19619032497586986,-6.031930269091385,-6.031930269091385,1,0,1,0,0,3.0,6.0,4.5
external_lung,source_disjoint,3,1,ATRX,JUN,1971,6756,0,-0.24389709299185847,-8.901583974595063,-8.901583974595063,1,0,1,0,0,3.0,23.0,13.0
external_lung,source_disjoint,3,1,BACH2,ASXL1,3141,45,0,-0.2137426916779633,-6.865426247778125,-6.865426247778125,2,0,1,1,0,4.0,6.0,5.0
external_lung,source_disjoint,3,1,BACH2,BCL2,3141,4340,1,-0.12711881468774572,-3.4754078391856336,-3.4754078391856336,2,0,1,1,1,4.0,24.0,14.0
external_lung,source_disjoint,3,1,BACH2,FAS,3141,1379,0,-0.23349457107683727,-8.05828977240291,-8.05828977240291,2,0,1,1,0,4.0,15.0,9.5
external_lung,source_disjoint,3,1,BACH2,IL4,3141,5227,0,-1.012421472536544,-19.728034863882435,-19.728034863882435,2,0,1,1,0,4.0,16.0,10.0
external_lung,source_disjoint,3,1,BARD1,BAX,3474,7985,0,-0.22518958022804225,-7.455357559874347,-7.455357559874347,1,0,1,0,0,5.0,19.0,12.0
external_lung,source_disjoint,3,1,BARD1,CREM,3474,1343,0,-0.24464074538380512,-9.235199184016256,-9.235199184016256,1,0,1,0,0,5.0,6.0,5.5
external_lung,source_disjoint,3,1,BARD1,ESR1,3474,3614,1,-0.216715302473273,-7.630006481085325,-7.630006481085325,1,0,1,0,1,5.0,20.0,12.5
external_lung,source_disjoint,3,1,BARD1,MCM5,3474,1955,0,-0.2219333196630474,-6.2383108331851265,-6.2383108331851265,1,0,1,0,0,5.0,11.0,8.0
external_lung,source_disjoint,3,1,BARD1,SPIB,3474,3452,0,-0.25177171141877297,-9.301708834013358,-9.301708834013358,1,0,1,0,0,5.0,7.0,6.0
external_lung,source_disjoint,3,1,BARX2,CCND1,856,2728,0,-0.18115788451153744,-6.265283111639293,-6.265283111639293,2,0,1,1,0,5.0,37.0,21.0
external_lung,source_disjoint,3,1,BARX2,ESR1,856,3614,1,-0.21525762826016626,-7.154264305955384,-7.154264305955384,2,0,1,1,1,5.0,20.0,12.5
external_lung,source_disjoint,3,1,BARX2,FOXP1,856,1322,0,-0.2594833762385422,-10.371329434471255,-10.371329434471255,2,0,1,1,0,5.0,6.0,5.5
external_lung,source_disjoint,3,1,BARX2,NR0B2,856,1720,0,-0.26692792676789096,-10.515452187463444,-10.515452187463444,2,0,1,1,0,5.0,7.0,6.0
external_lung,source_disjoint,3,1,BARX2,TRPS1,856,3692,0,-0.24164595187623586,-9.501037073289032,-9.501037073289032,2,0,1,1,0,5.0,6.0,5.5
external_lung,source_disjoint,3,1,BCL11A,GATA1,665,2107,1,-1.0115773800937182,-20.025970291070475,-20.025970291070475,2,0,1,1,1,2.0,9.0,5.5
external_lung,source_disjoint,3,1,BCL11A,HDAC3,665,3199,0,-0.23035294721009153,-7.672231161658416,-7.672231161658416,2,0,1,1,0,2.0,5.0,3.5
external_lung,source_disjoint,3,1,BCL3,CTCF,2672,3529,1,-0.23988103423179616,-9.15153914216056,-9.15153914216056,1,0,1,0,1,6.0,8.0,7.0
external_lung,source_disjoint,3,1,BCL3,EGFR,2672,873,1,-0.244242113863914,-8.570108307515364,-8.570108307515364,1,0,1,0,1,6.0,16.0,11.0
external_lung,source_disjoint,3,1,BCL3,FOXC2,2672,295,0,-0.2641904157877978,-11.521901747806925,-11.521901747806925,1,0,1,0,0,6.0,5.0,5.5
external_lung,source_disjoint,3,1,BCL3,GCM1,2672,1610,0,-1.0154262796068554,-20.207984755872616,-20.207984755872616,1,0,1,0,0,6.0,5.0,5.5
external_lung,source_disjoint,3,1,BCL3,NFKB1,2672,6289,1,-0.2350754387196983,-7.034223570473032,-7.034223570473032,1,0,1,0,1,6.0,21.0,13.5
