domain,seed_tag,split_regime,layer,perm_idx,null_delta_best_diffusion_minus_best_baseline
external_lung,seed42_main,source_disjoint,0,0,0.01817557493866151
external_lung,seed42_main,source_disjoint,0,1,-0.006300161612841526
external_lung,seed42_main,source_disjoint,0,2,0.0028468121573553273
external_lung,seed42_main,source_disjoint,0,3,0.018291012682499275
external_lung,seed42_main,source_disjoint,0,4,0.003914122144872523
external_lung,seed42_main,source_disjoint,0,5,0.014008076728924734
external_lung,seed42_main,source_disjoint,0,6,0.011746279578476071
external_lung,seed42_main,source_disjoint,0,7,-0.00457446517106308
external_lung,seed42_main,source_disjoint,0,8,0.026230781572222917
external_lung,seed42_main,source_disjoint,0,9,-0.0025670223714433504
external_lung,seed42_main,source_disjoint,0,10,-0.0027215915538702506
external_lung,seed42_main,source_disjoint,0,11,0.004553921165803776
external_lung,seed42_main,source_disjoint,0,12,0.010856039350574664
external_lung,seed42_main,source_disjoint,0,13,0.0039082524290841025
external_lung,seed42_main,source_disjoint,0,14,-0.005231873339359594
external_lung,seed42_main,source_disjoint,0,15,0.004492289150025974
external_lung,seed42_main,source_disjoint,0,16,-0.0001643520420741007
external_lung,seed42_main,source_disjoint,0,17,0.003948362153637808
external_lung,seed42_main,source_disjoint,0,18,0.022972111023717545
external_lung,seed42_main,source_disjoint,0,19,-0.002372343464462745
external_lung,seed42_main,source_disjoint,0,20,0.02450312855851522
external_lung,seed42_main,source_disjoint,0,21,0.015058755855041461
external_lung,seed42_main,source_disjoint,0,22,0.021780558718680176
external_lung,seed42_main,source_disjoint,0,23,-0.010988107955812842
external_lung,seed42_main,source_disjoint,0,24,0.0038456421273416197
external_lung,seed42_main,source_disjoint,0,25,-0.0021219022574927027
external_lung,seed42_main,source_disjoint,0,26,0.0035472649080998675
external_lung,seed42_main,source_disjoint,0,27,-0.00794172546165317
external_lung,seed42_main,source_disjoint,0,28,0.022269701701043587
external_lung,seed42_main,source_disjoint,0,29,0.012389991743266493
external_lung,seed42_main,source_disjoint,0,30,-0.0008648047928185854
external_lung,seed42_main,source_disjoint,0,31,0.005445139679670086
external_lung,seed42_main,source_disjoint,0,32,0.020892275062708188
external_lung,seed42_main,source_disjoint,0,33,0.035009919819682433
external_lung,seed42_main,source_disjoint,0,34,0.0059460220936102814
external_lung,seed42_main,source_disjoint,0,35,0.012476080908162546
external_lung,seed42_main,source_disjoint,0,36,0.0010770928471642849
external_lung,seed42_main,source_disjoint,0,37,-0.000629037875319427
external_lung,seed42_main,source_disjoint,0,38,-0.006130918140943575
external_lung,seed42_main,source_disjoint,0,39,0.005579164856837682
external_lung,seed42_main,source_disjoint,0,40,-0.0104833123980137
external_lung,seed42_main,source_disjoint,0,41,0.022207091399301215
external_lung,seed42_main,source_disjoint,0,42,-0.008371193000168198
external_lung,seed42_main,source_disjoint,0,43,0.009746663066574346
external_lung,seed42_main,source_disjoint,0,44,-0.009586224168359081
external_lung,seed42_main,source_disjoint,0,45,0.01984257422255603
external_lung,seed42_main,source_disjoint,0,46,0.013675459500917642
external_lung,seed42_main,source_disjoint,0,47,0.011506599517118077
external_lung,seed42_main,source_disjoint,0,48,0.012021177934564475
external_lung,seed42_main,source_disjoint,0,49,0.02103216995566415
external_lung,seed42_main,source_disjoint,0,50,0.010009821991085799
external_lung,seed42_main,source_disjoint,0,51,-0.0044101131289889794
external_lung,seed42_main,source_disjoint,0,52,0.01305326962735126
external_lung,seed42_main,source_disjoint,0,53,0.024355407377841365
external_lung,seed42_main,source_disjoint,0,54,0.02458236972165806
external_lung,seed42_main,source_disjoint,0,55,0.011297246320666532
external_lung,seed42_main,source_disjoint,0,56,-0.012299011148546812
external_lung,seed42_main,source_disjoint,0,57,0.0057562346164531375
external_lung,seed42_main,source_disjoint,0,58,0.01959702444540956
external_lung,seed42_main,source_disjoint,0,59,0.020476503527699252
external_lung,seed42_main,source_disjoint,0,60,0.0015809101189986352
external_lung,seed42_main,source_disjoint,0,61,-0.006804957170640391
external_lung,seed42_main,source_disjoint,0,62,0.01650955394073156
external_lung,seed42_main,source_disjoint,0,63,0.014973644976110312
external_lung,seed42_main,source_disjoint,0,64,0.014664506611256511
external_lung,seed42_main,source_disjoint,0,65,0.008659787359762694
external_lung,seed42_main,source_disjoint,0,66,0.009351435536824604
external_lung,seed42_main,source_disjoint,0,67,-0.006938004061843306
external_lung,seed42_main,source_disjoint,0,68,-0.002687351545104799
external_lung,seed42_main,source_disjoint,0,69,-0.004136193058865478
external_lung,seed42_main,source_disjoint,0,70,-1.7609147365038602e-05
external_lung,seed42_main,source_disjoint,0,71,0.012053461371400398
external_lung,seed42_main,source_disjoint,0,72,0.026571225087947847
external_lung,seed42_main,source_disjoint,0,73,-0.00893272914392157
external_lung,seed42_main,source_disjoint,0,74,0.006055590121659571
external_lung,seed42_main,source_disjoint,0,75,-0.00788596316166379
external_lung,seed42_main,source_disjoint,0,76,0.01155747038728383
external_lung,seed42_main,source_disjoint,0,77,-0.003823141550152842
external_lung,seed42_main,source_disjoint,0,78,0.003808467260681958
external_lung,seed42_main,source_disjoint,0,79,-0.014590156877937355
external_lung,seed42_main,source_disjoint,0,80,0.009776989931480906
