domain,layer,n_matched_genes,pca_dim,gw_objective,top1_retrieval_gw,mutual_top1_gw,truth_mass_gw,distance_spearman_gw,knn_jaccard_gw,edge_transfer_auc_gw,distance_spearman_identity,knn_jaccard_identity,edge_transfer_auc_identity,null_mean_top1,null_mean_mutual_top1,null_mean_distance_spearman,null_mean_knn_jaccard,null_mean_edge_transfer_auc,p_top1_retrieval_upper,p_mutual_top1_upper,p_distance_spearman_upper,p_knn_jaccard_upper,p_edge_transfer_auc_upper
external_lung,3,280,32,0.26541874859039655,0.0,0.0,0.003916287605220448,0.8892271794885854,0.14103041136709868,0.494941443058286,0.4524106561427294,0.09107249174973632,0.5472573316886494,0.003531746031746032,0.003531746031746032,-0.0032341347912328263,0.019375242299648904,0.49986107036854166,1.0,1.0,0.0055248618784530384,0.0055248618784530384,0.6353591160220995
immune,0,280,32,0.17757945244352408,0.0035714285714285713,0.0,0.003575400249693869,0.766059706463615,0.08344359673694038,0.5619180097349918,0.12679573642031164,0.1379810628704923,0.5911969713358571,0.0035119047619047617,0.0035119047619047617,0.0012406327258313063,0.019290964680219066,0.49799469262664503,0.6464088397790055,1.0,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384
lung,0,280,32,0.21454203292823576,0.0,0.0,0.0038638366031659697,0.9116026622889242,0.1651553125237336,0.4988645761738646,0.35807148388360527,0.08800954592363261,0.5413326874979624,0.003134920634920635,0.003134920634920635,0.0009484228278303686,0.019314648617731692,0.5001105150293121,1.0,1.0,0.0055248618784530384,0.0055248618784530384,0.5414364640883977
