domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,diffusion_t,auc_diffusion,auc_euclidean,auc_geodesic,best_diffusion_t,best_diffusion_auc,best_baseline_auc,delta_best_diffusion_minus_best_baseline,p_delta_best_diffusion_upper,null_mean_delta,null_std_delta,is_best_t
external_lung,seed42_main,source_disjoint,0,1469,566,318,24,24,True,1,0.56580929684718,0.5637353306019589,0.5637353306019589,2,0.5702927814235235,0.5637353306019589,0.006557450821564559,0.425414364640884,0.0050723475080447795,0.011287295550573454,False
external_lung,seed42_main,source_disjoint,0,1469,566,318,24,24,True,2,0.5702927814235235,0.5637353306019589,0.5637353306019589,2,0.5702927814235235,0.5637353306019589,0.006557450821564559,0.425414364640884,0.0050723475080447795,0.011287295550573454,True
external_lung,seed42_main,source_disjoint,0,1469,566,318,24,24,True,4,0.5678901110941541,0.5637353306019589,0.5637353306019589,2,0.5702927814235235,0.5637353306019589,0.006557450821564559,0.425414364640884,0.0050723475080447795,0.011287295550573454,False
external_lung,seed42_main,source_disjoint,0,1469,566,318,24,24,True,8,0.5667601908048946,0.5637353306019589,0.5637353306019589,2,0.5702927814235235,0.5637353306019589,0.006557450821564559,0.425414364640884,0.0050723475080447795,0.011287295550573454,False
external_lung,seed42_main,source_disjoint,3,1469,566,318,24,24,True,1,0.5756488970804033,0.5818844918195727,0.5818844918195727,1,0.5756488970804033,0.5818844918195727,-0.006235594739169348,0.9226519337016574,0.006630659221258281,0.010367658852857752,True
external_lung,seed42_main,source_disjoint,3,1469,566,318,24,24,True,2,0.5561213309384894,0.5818844918195727,0.5818844918195727,1,0.5756488970804033,0.5818844918195727,-0.006235594739169348,0.9226519337016574,0.006630659221258281,0.010367658852857752,False
external_lung,seed42_main,source_disjoint,3,1469,566,318,24,24,True,4,0.5518364384129854,0.5818844918195727,0.5818844918195727,1,0.5756488970804033,0.5818844918195727,-0.006235594739169348,0.9226519337016574,0.006630659221258281,0.010367658852857752,False
external_lung,seed42_main,source_disjoint,3,1469,566,318,24,24,True,8,0.5525368911637298,0.5818844918195727,0.5818844918195727,1,0.5756488970804033,0.5818844918195727,-0.006235594739169348,0.9226519337016574,0.006630659221258281,0.010367658852857752,False
external_lung,seed42_main,source_disjoint,7,1469,566,318,24,24,True,1,0.562086918751394,0.5827903846229099,0.5827903846229099,1,0.562086918751394,0.5827903846229099,-0.020703465871515836,1.0,0.00389618690218575,0.0102118061089785,True
external_lung,seed42_main,source_disjoint,7,1469,566,318,24,24,True,2,0.5518061115480789,0.5827903846229099,0.5827903846229099,1,0.562086918751394,0.5827903846229099,-0.020703465871515836,1.0,0.00389618690218575,0.0102118061089785,False
external_lung,seed42_main,source_disjoint,7,1469,566,318,24,24,True,4,0.5457612825720313,0.5827903846229099,0.5827903846229099,1,0.562086918751394,0.5827903846229099,-0.020703465871515836,1.0,0.00389618690218575,0.0102118061089785,False
external_lung,seed42_main,source_disjoint,7,1469,566,318,24,24,True,8,0.5468765285718199,0.5827903846229099,0.5827903846229099,1,0.562086918751394,0.5827903846229099,-0.020703465871515836,1.0,0.00389618690218575,0.0102118061089785,False
external_lung,seed42_main,source_disjoint,11,1469,566,318,24,24,True,1,0.5501919397062793,0.573121006147549,0.573121006147549,1,0.5501919397062793,0.573121006147549,-0.022929066441269685,1.0,0.0055280276754925495,0.010164428921691046,True
external_lung,seed42_main,source_disjoint,11,1469,566,318,24,24,True,2,0.5452261601493256,0.573121006147549,0.573121006147549,1,0.5501919397062793,0.573121006147549,-0.022929066441269685,1.0,0.0055280276754925495,0.010164428921691046,False
external_lung,seed42_main,source_disjoint,11,1469,566,318,24,24,True,4,0.539016000845239,0.573121006147549,0.573121006147549,1,0.5501919397062793,0.573121006147549,-0.022929066441269685,1.0,0.0055280276754925495,0.010164428921691046,False
external_lung,seed42_main,source_disjoint,11,1469,566,318,24,24,True,8,0.5382343503594222,0.573121006147549,0.573121006147549,1,0.5501919397062793,0.573121006147549,-0.022929066441269685,1.0,0.0055280276754925495,0.010164428921691046,False
external_lung,seed42_main,target_disjoint,0,2188,1204,320,24,24,True,1,0.5469425255921995,0.5275445331280555,0.5275445331280555,1,0.5469425255921995,0.5275445331280555,0.019397992464143976,0.04419889502762431,0.00286295849877103,0.008878156576642912,True
external_lung,seed42_main,target_disjoint,0,2188,1204,320,24,24,True,2,0.5339873186937849,0.5275445331280555,0.5275445331280555,1,0.5469425255921995,0.5275445331280555,0.019397992464143976,0.04419889502762431,0.00286295849877103,0.008878156576642912,False
