domain,split_regime,perm_idx,null_interaction_coef,null_auc_delta
external_lung,source_disjoint,0,0.09473983705384698,0.00018528241919590904
external_lung,source_disjoint,1,0.043732141679093325,0.00026892087801788644
external_lung,source_disjoint,2,-0.03660508371144725,0.00011558370351116842
external_lung,source_disjoint,3,0.009002616108276613,4.0657584149617065e-05
external_lung,source_disjoint,4,-0.007372562894203895,-3.368771258116521e-05
external_lung,source_disjoint,5,0.016898740699363698,0.00011122753378056682
external_lung,source_disjoint,6,-0.022044632934688158,-2.14904373363467e-05
external_lung,source_disjoint,7,-0.04823407304188229,0.0002311674070221148
external_lung,source_disjoint,8,-0.03480798612590518,0.00017192349868955237
external_lung,source_disjoint,9,0.01950937926496198,-3.48493578428144e-06
external_lung,source_disjoint,10,-0.037995112673688214,0.0002387181012211137
external_lung,source_disjoint,11,0.06515901125305167,0.00011877822797978776
external_lung,source_disjoint,12,0.010511549616545695,1.1616452613161243e-06
external_lung,source_disjoint,13,-0.07638079502243028,-2.00383807594795e-05
external_lung,source_disjoint,14,-0.002847162728900841,-2.265208259744078e-05
external_lung,source_disjoint,15,-0.022291999713243353,6.969871568518471e-05
external_lung,source_disjoint,16,-0.06336040430650394,0.0001815070720964096
external_lung,source_disjoint,17,-0.028865493024708422,1.3358920506356675e-05
external_lung,source_disjoint,18,0.022825671296846317,8.131516829767982e-06
external_lung,source_disjoint,19,-0.04228679585501928,0.00036069085366974285
external_lung,source_disjoint,20,-0.013380643559956612,8.36384588219774e-05
external_lung,source_disjoint,21,-0.06575844261778226,0.0002189701317772963
external_lung,source_disjoint,22,-0.026700160013702692,9.467408880570183e-05
external_lung,source_disjoint,23,-0.06516216241789502,3.833429362654073e-05
external_lung,source_disjoint,24,-0.056868700914415274,0.000128361801386645
external_lung,source_disjoint,25,0.013364578119745603,3.804388231132272e-05
external_lung,source_disjoint,26,-0.04648614600208212,-0.00017250432132032145
external_lung,source_disjoint,27,-0.017874431143174746,9.990149248162439e-05
external_lung,source_disjoint,28,-0.07997216475882483,0.0005099622697619655
external_lung,source_disjoint,29,0.06225564589183761,-2.3813727859089973e-05
external_lung,source_disjoint,30,-0.001448356559491042,6.969871568340835e-06
external_lung,source_disjoint,31,-0.05894919932067931,0.0007100556660408763
external_lung,source_disjoint,32,-0.05531029267717777,0.00016175910265225912
external_lung,source_disjoint,33,-0.015399853623033097,9.00275077597712e-06
external_lung,source_disjoint,34,-0.01932462462598065,-2.9041131535123554e-06
external_lung,source_disjoint,35,-0.08526385272696538,0.0003188716242589207
external_lung,source_disjoint,36,-0.011232219793985648,4.0076761519070025e-05
external_lung,source_disjoint,37,0.0636184933776989,0.00018179748341173863
external_lung,source_disjoint,38,0.029954263044686565,6.563295726991214e-05
external_lung,source_disjoint,39,0.05636792293767014,0.00019167146813370284
external_lung,source_disjoint,40,-0.06458085413224161,0.0004013484378193599
external_lung,source_disjoint,41,0.01854447358091542,-7.027953831562073e-05
external_lung,source_disjoint,42,0.04210666819615462,0.00027356745906359503
external_lung,source_disjoint,43,-0.05055261430312173,0.0001318467371707044
external_lung,source_disjoint,44,-0.0012737148107003365,4.6465810457085865e-06
external_lung,source_disjoint,45,-0.00894135468868496,2.5556195751286204e-05
external_lung,source_disjoint,46,0.060928687178886755,0.00017511802315850478
external_lung,source_disjoint,47,-0.06613810256183494,0.0002581756593498241
external_lung,source_disjoint,48,0.0048740074596528415,3.659182573467756e-05
external_lung,source_disjoint,49,0.05837753393523806,0.00023087699570667475
external_lung,source_disjoint,50,-0.06726133050226114,0.0002976715982382361
external_lung,source_disjoint,51,0.064754212829184,0.00038043882311411537
external_lung,source_disjoint,52,0.038938365246996114,0.0002636934743415198
external_lung,source_disjoint,53,1.8133937260575938e-06,5.227403676366649e-06
external_lung,source_disjoint,54,0.03821961249722011,0.00015740293292187957
external_lung,source_disjoint,55,-0.028241609165107102,0.00014520565767717208
external_lung,source_disjoint,56,0.022655908065647084,-3.426853521182327e-05
external_lung,source_disjoint,57,-0.07333949380282292,0.00024859208594318893
external_lung,source_disjoint,58,0.048075249072740286,0.00010338642826601685
