domain,seed_tag,split_regime,layer,n_edges,n_positive,n_points,edge_auc_local_linearity,twonn_mean,twonn_var,twonn_skew,pr_mean,pr_var,pr_skew
external_lung,seed42_main,source_disjoint,0,1074,451,240,0.5487093065881775,31.9445565479333,942.1000050659426,1.2951545633500416,5.15709267672064,4.8904215161990985,-1.5095369510635797
external_lung,seed42_main,source_disjoint,1,1074,451,240,0.5180764699811015,30.152965218355327,1066.2569211523341,1.2062924193803595,5.083152031310669,4.713418120661096,-1.5321054420384503
external_lung,seed42_main,source_disjoint,2,1074,451,240,0.5298427251017002,27.98234300700445,1024.630080101859,1.4177760843198295,5.112451731308938,4.683362193785167,-1.5851712781735736
external_lung,seed42_main,source_disjoint,3,1074,451,240,0.5099760475205803,28.355869878385192,1073.5536618731855,1.3341144179400097,5.165148793272973,4.75339363332196,-1.608085910346237
external_lung,seed42_main,source_disjoint,4,1074,451,240,0.5358290654262153,24.276813926204923,820.9976985289649,1.6968893416955484,5.124586990920422,4.634371858956361,-1.6419138757376648
external_lung,seed42_main,source_disjoint,5,1074,451,240,0.538441416079125,26.962433861895192,937.387296513285,1.4158227485653554,5.054656314784101,4.518187828611084,-1.6250757736010388
external_lung,seed42_main,source_disjoint,6,1074,451,240,0.5337114242293743,30.532476338310857,1082.434503787005,1.1471153610035747,5.028186173942042,4.524113326190751,-1.5868813277948248
external_lung,seed42_main,source_disjoint,7,1074,451,240,0.5471077292124154,25.470886092051163,919.3517973789317,1.5681521179002922,5.04458529330868,4.508035007823893,-1.6270408005466237
external_lung,seed42_main,source_disjoint,8,1074,451,240,0.5489192911774441,34.31859178123973,798.1144473771614,1.0416832981463835,4.95480894734934,4.354656624260759,-1.6255054136538927
external_lung,seed42_main,source_disjoint,9,1074,451,240,0.5336438020735088,32.23511352072443,930.2505991234557,1.3037053695774616,4.945745514361898,4.29157735065914,-1.6643034979076046
external_lung,seed42_main,source_disjoint,10,1074,451,240,0.5258992856964904,24.720881304003154,821.399928782478,1.6650949964670536,4.889548448358509,4.15793173798311,-1.6831482850669313
external_lung,seed42_main,source_disjoint,11,1074,451,240,0.5339961490961764,25.218311934359107,825.7373397402711,1.5436761602345792,4.885630488232498,4.172895546160567,-1.6720992405727124
external_lung,seed42_main,target_disjoint,0,1616,972,240,0.5138817000230044,29.244076218090125,1146.0016975784467,1.2056431978744322,5.15917354698729,5.4552675425334085,-1.5559805212458822
external_lung,seed42_main,target_disjoint,1,1616,972,240,0.5088926270991488,26.058021728615433,894.858434008092,1.4867946506573648,5.0886242872609575,5.365229254765747,-1.5177647556506753
external_lung,seed42_main,target_disjoint,2,1616,972,240,0.5410108823454234,25.792244549577376,905.470290846523,1.4764234540712309,5.117082179426329,5.4620460153084185,-1.5020674349040286
external_lung,seed42_main,target_disjoint,3,1616,972,240,0.5150734542340822,29.643690376828683,791.1781707992767,1.4321178699852941,5.1243849758047055,5.436661037504758,-1.5303947104548077
external_lung,seed42_main,target_disjoint,4,1616,972,240,0.4803959627329192,32.258270778698694,905.9094159272229,0.9607148308564109,5.039641402050356,5.2311659018347925,-1.543264051385648
external_lung,seed42_main,target_disjoint,5,1616,972,240,0.4990678437236409,30.203429599076003,820.930635018293,1.2622222587702379,5.0328367580550815,5.3069102901292435,-1.4778101315317589
external_lung,seed42_main,target_disjoint,6,1616,972,240,0.5007803913299081,23.606658628210237,784.9276791128162,1.5989486103439268,4.992278876811828,5.108621973596915,-1.5575469291949915
external_lung,seed42_main,target_disjoint,7,1616,972,240,0.5151597206246965,35.09276787293157,938.3471531791934,0.9686485426224427,5.020009067886574,5.204446076497043,-1.5261343231428148
external_lung,seed42_main,target_disjoint,8,1616,972,240,0.5199842483960841,31.979766471995028,860.1880374648508,1.338866142706851,4.905170909528247,4.970703812486197,-1.5238859493464767
external_lung,seed42_main,target_disjoint,9,1616,972,240,0.5215817741481992,30.970093206078477,797.6007105675462,1.3753263626620982,4.88542112719202,4.943829722113659,-1.5155113090443124
external_lung,seed42_main,target_disjoint,10,1616,972,240,0.5516088681849551,30.55312329318434,774.531581388813,1.3842121697596614,4.852891156499618,4.918693630575265,-1.491053325749653
external_lung,seed42_main,target_disjoint,11,1616,972,240,0.5135174641515221,32.80619866774729,823.089858683199,1.116377371945866,4.8532486589500134,4.893267721458871,-1.5123315518985014
external_lung,seed43,source_disjoint,0,1101,443,238,0.5398155708179242,32.41567421546919,815.7723412364272,1.2936565027103477,4.891453822459826,6.036482698295468,-1.2596142271227428
external_lung,seed43,source_disjoint,1,1101,443,238,0.519348597226701,27.079279158008358,952.599448053884,1.3965587601911316,4.7795178988244675,5.820552192149521,-1.231442692653066
external_lung,seed43,source_disjoint,2,1101,443,238,0.5224738759631417,26.281577809715102,954.7086609917083,1.4240757947003853,4.809351674098382,5.822788518382145,-1.2733313659699237
external_lung,seed43,source_disjoint,3,1101,443,238,0.5099521774033084,25.359826134488554,932.6129415649372,1.5381088715656994,4.826813596408818,5.870584422671289,-1.2739486176175085
external_lung,seed43,source_disjoint,4,1101,443,238,0.4949878899737216,25.914627302884934,969.1946203859789,1.5229448241922767,4.788246453365556,5.734192781832996,-1.2927361525132617
external_lung,seed43,source_disjoint,5,1101,443,238,0.5044186158205657,31.162843538945793,718.5380231412405,1.3955427893755852,4.746235729661339,5.704764076350415,-1.2546439472735549
external_lung,seed43,source_disjoint,6,1101,443,238,0.5042402244986174,31.537196171011644,744.6034140245562,1.439852670437028,4.726676510537941,5.664394052704705,-1.2463846550087485
external_lung,seed43,source_disjoint,7,1101,443,238,0.4953103665941666,26.62700420975947,974.6835772515776,1.4220517688716356,4.7623807344225595,5.6833213761137005,-1.2807998492977135
external_lung,seed43,source_disjoint,8,1101,443,238,0.5022058773079376,33.38242549900695,827.4325708344705,1.268421400929948,4.673044531219813,5.576696463519621,-1.2215896219475149
external_lung,seed43,source_disjoint,9,1101,443,238,0.4943189225164154,26.106105034113845,998.7705796894766,1.4398616338455419,4.644696237206647,5.437947299077349,-1.256914630083802
external_lung,seed43,source_disjoint,10,1101,443,238,0.5211016350250777,27.433172492399283,1031.5420891498188,1.3479712068223175,4.662194843061087,5.338410419568941,-1.3432592909503416
external_lung,seed43,source_disjoint,11,1101,443,238,0.5214927236924258,35.54794477943105,880.9174465896617,0.990109093612504,4.685100328575793,5.351919750577466,-1.3645761353527297
external_lung,seed43,target_disjoint,0,1563,952,240,0.5131122006904234,23.75034411453361,826.3279850454248,1.5823314240437976,5.111593234786936,5.324878394749735,-1.5046709293732072
external_lung,seed43,target_disjoint,1,1563,952,240,0.5099196798195547,26.491365662185967,973.743140089384,1.435082895406741,5.127500846017568,5.351766028714772,-1.5130581980062154
