domain,seed_tag,split_regime,layer,n_points,h1_count,h1_total_lifetime,h1_mean_lifetime,h1_entropy,null_mean_h1_total_lifetime,null_std_h1_total_lifetime,h1_total_lifetime_z,p_h1_total_upper_vs_shuffle,geometry_delta_auc
external_lung,seed42_main,source_disjoint,0,240,163,62.6563720703125,0.3843949206767638,4.797535871311732,50.49024732112885,7.5460478482946645,1.612251206693989,0.09523809523809523,0.0006797806194900335
external_lung,seed42_main,source_disjoint,3,240,164,40.430057525634766,0.24652474100996807,4.7098167562678155,44.93078145980835,6.918060995902311,-0.6505759253697594,0.7619047619047619,-7.829933837055769e-05
external_lung,seed42_main,source_disjoint,7,240,143,40.13845229148865,0.2806884775628577,4.61472322375085,39.61219856739044,4.12580272236116,0.12755183888119445,0.42857142857142855,0.004331377036227657
external_lung,seed42_main,source_disjoint,11,240,141,17.558789253234863,0.12453042023570825,4.628208519951404,18.54359322786331,2.2149336347999755,-0.44462008213504933,0.7142857142857143,-1.0677182505358651e-05
external_lung,seed42_main,target_disjoint,0,240,159,60.090105056762695,0.3779251890362434,4.771108085716863,54.35779554843903,8.14844250880971,0.7034852982181766,0.2857142857142857,0.0007364593717250623
external_lung,seed42_main,target_disjoint,3,240,147,43.04465913772583,0.29282081046071995,4.656835081754466,43.23950865268707,4.3563172489689785,-0.044728036050945746,0.5714285714285714,0.0007795925670320836
external_lung,seed42_main,target_disjoint,7,240,143,36.41883063316345,0.2546771372948493,4.622792842878014,36.39156091213226,6.247605896997679,0.004364827340388672,0.5238095238095238,0.0016470490504305602
external_lung,seed42_main,target_disjoint,11,240,143,16.815669417381287,0.11759209382784117,4.638814462738938,16.557363253831863,2.2323110160687167,0.11571244405016749,0.47619047619047616,0.0010335991616184925
immune,seed42_main,source_disjoint,0,240,181,76.73974847793579,0.42397651092782207,4.840760752198191,61.59167206287384,8.121961990748119,1.8650760040883487,0.14285714285714285,0.0015760196709324603
immune,seed42_main,source_disjoint,3,240,155,54.89977240562439,0.3541920800362864,4.6862189092471525,52.04977781772614,7.573122018012826,0.37633020848198157,0.3333333333333333,0.0001586365533104983
immune,seed42_main,source_disjoint,7,240,157,43.03010106086731,0.2740770768208109,4.734946035015416,40.42364711761475,6.860814097653175,0.37990446995847477,0.42857142857142855,0.00040348862472450175
immune,seed42_main,source_disjoint,11,240,157,19.67592215538025,0.1253243449387277,4.6655597821161985,20.05031725168228,2.7579227950027256,-0.13575256601831778,0.5714285714285714,0.0001793282776554328
immune,seed42_main,target_disjoint,0,227,137,57.013437271118164,0.41615647643151943,4.555033028848186,44.79596374034882,6.162759630652243,1.982467962891536,0.09523809523809523,0.005449291630009401
immune,seed42_main,target_disjoint,3,227,125,41.55255746841431,0.33242045974731443,4.473170634496829,37.251557683944704,6.820466327030895,0.6306020113938348,0.38095238095238093,-0.00020730313786165855
immune,seed42_main,target_disjoint,7,227,119,37.08815360069275,0.3116651563083424,4.430204267245761,30.944348418712615,4.943876131952328,1.2427101767927906,0.14285714285714285,0.00154466118577401
immune,seed42_main,target_disjoint,11,227,125,15.448694348335266,0.12358955478668213,4.4641732513266135,13.443646031618119,1.9309159599056898,1.0383923269322803,0.14285714285714285,0.005584544287028814
lung,seed42_main,source_disjoint,0,239,124,42.21526312828064,0.34044567038936,4.432759749778531,35.14536187648773,5.529020064809474,1.2786897440996228,0.19047619047619047,0.0015145806646070792
lung,seed42_main,source_disjoint,3,239,111,31.651000261306763,0.28514414649825914,4.386984114136882,31.510357832908632,4.844980914428876,0.029028479344321578,0.42857142857142855,0.0007422198779292177
lung,seed42_main,source_disjoint,7,239,117,27.916733503341675,0.23860455985762116,4.411851314612982,25.057004368305208,3.8904882300702646,0.7350566216684888,0.19047619047619047,0.0016163062316330024
lung,seed42_main,source_disjoint,11,239,116,12.551552057266235,0.10820303497643306,4.41674254360196,15.288790959119797,1.7223815436938112,-1.5892175063507081,1.0,0.001529651118981401
lung,seed42_main,target_disjoint,0,238,127,44.54170560836792,0.3507220914044718,4.513919978330644,43.54913153648376,5.204139393458161,0.19072780278173704,0.42857142857142855,0.0006962954903987351
lung,seed42_main,target_disjoint,3,238,132,35.861836671829224,0.2716805808471911,4.535669416837349,35.330711579322816,5.324408671395759,0.09975287872994473,0.38095238095238093,0.0009639340695207776
lung,seed42_main,target_disjoint,7,238,122,29.663989305496216,0.24314745332373947,4.418027340957133,31.79621789455414,3.9691744451516673,-0.5371969961316347,0.6666666666666666,0.0035815699287385927
lung,seed42_main,target_disjoint,11,238,118,14.849293112754822,0.12584146705724425,4.450245458001024,16.116047775745393,1.7816302196357137,-0.7110087430205255,0.7142857142857143,0.0002458793450471619
