domain,split_regime,n_seeds,mean_r2_mean_model,mean_r2_full_model,mean_delta_r2_full_minus_mean,fraction_delta_r2_positive,fraction_p_delta_lt_0_05,combined_fisher_p_delta_r2
external_lung,source_disjoint,3,0.44344942643859026,0.885596224345416,0.44214679790682565,1.0,0.3333333333333333,0.09335035508238326
external_lung,target_disjoint,3,0.13239857098405172,0.7003111127792024,0.5679125417951507,1.0,0.0,0.07468640109256179
immune,source_disjoint,3,0.5637441491481981,0.8196369259847712,0.25589277683657313,1.0,0.0,0.8552785431132863
immune,target_disjoint,3,0.28768015877304065,0.5139263410332667,0.22624618226022605,1.0,0.0,0.9345982546007204
lung,source_disjoint,3,0.5407244560586935,0.8937798226323773,0.35305536657368375,1.0,0.0,0.6110439652493904
lung,target_disjoint,3,0.4353058978149955,0.7304324017579171,0.29512650394292167,1.0,0.0,0.7786461809659306
