domain,split_regime,n_rows,mean_h1_z,fraction_h1_p_lt_0_05,mean_geometry_delta_auc,rho_h1z_vs_geometry_delta,combined_fisher_p_h1
external_lung,source_disjoint,4,0.16115175951759367,0.0,0.0012305452837104436,0.7999999999999999,0.4720376305753482
external_lung,target_disjoint,4,0.19470863338944674,0.0,0.0010491750377015496,-0.39999999999999997,0.6023097444972303
immune,source_disjoint,4,0.6213895291276218,0.0,0.0005793682816557233,0.7999999999999999,0.3505557493056528
immune,target_disjoint,4,1.2235431195026105,0.0,0.0030927984912376416,0.39999999999999997,0.07153365613364716
lung,source_disjoint,4,0.11338933469043122,0.0,0.001350689473287675,0.0,0.4021494910022182
lung,target_disjoint,4,-0.23943126441011964,0.0,0.0013719197084263168,0.19999999999999998,0.7459047978550473
