hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_curvature_drift_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_distance_shuffle_upper,p_degree_shuffle_upper,p_label_upper,p_best_upper,mean_curvature_along_path,mean_path_len
H120,external_lung,seed42_main,source_disjoint,7,240,115,0.878191304347826,0.9148521739130434,0.03666086956521741,0.04299130434782624,-0.006330434782608828,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,-27.83,2.1416666666666666
H120,external_lung,seed42_main,source_disjoint,11,240,115,0.8336695652173913,0.890504347826087,0.05683478260869568,0.08670608695652163,-0.02987130434782595,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,-28.98159722222222,2.1083333333333334
H120,external_lung,seed42_main,target_disjoint,7,240,159,0.8410590884385433,0.8659057380231384,0.02484664958459515,0.02119535678235886,0.0036512928022362882,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,-28.17048611111111,1.9875
H120,external_lung,seed42_main,target_disjoint,11,240,159,0.7912104977094494,0.8619458032455937,0.07073530553614427,0.05700364935165776,0.013731656184486504,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-28.145277777777775,1.9916666666666667
H120,immune,seed42_main,source_disjoint,7,240,60,0.8802777777777777,0.8964814814814813,0.01620370370370361,0.04126851851851853,-0.02506481481481492,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.1111111111111111,-28.482986111111114,2.029166666666667
H120,immune,seed42_main,source_disjoint,11,240,60,0.8487962962962963,0.8623148148148148,0.013518518518518485,0.10849999999999985,-0.09498148148148136,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.1111111111111111,-30.102777777777774,2.0083333333333333
H120,immune,seed42_main,target_disjoint,7,240,60,0.8452777777777777,0.9055555555555557,0.060277777777777986,0.025231481481481556,0.03504629629629643,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-28.261805555555554,1.8583333333333334
H120,immune,seed42_main,target_disjoint,11,240,60,0.8687962962962963,0.8987962962962964,0.030000000000000138,0.038247685185185225,-0.008247685185185087,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,-28.648958333333333,1.8375
H120,lung,seed42_main,source_disjoint,7,240,119,0.8172789777067853,0.8346412945343427,0.0173623168275574,0.033425932356413716,-0.016063615528856316,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.1111111111111111,-24.13298611111111,1.8166666666666667
H120,lung,seed42_main,source_disjoint,11,240,119,0.7615806653239809,0.8343634974651017,0.0727828321411208,0.09497881797347038,-0.02219598583234958,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.1111111111111111,-25.485069444444445,1.8625
H120,lung,seed42_main,target_disjoint,7,240,153,0.8284125910900759,0.8589136804146946,0.030501089324618702,0.01928855833521145,0.011212530989407252,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-28.36423611111111,1.9708333333333334
H120,lung,seed42_main,target_disjoint,11,240,153,0.8173690932311622,0.8501239576290287,0.03275486439786646,0.018187964841108815,0.014566899556757641,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-29.431597222222226,1.9875
