hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_signed_module_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_comm_upper,p_sign_upper,p_label_upper,p_best_upper,motif_coverage,sign_consistency_rate,same_community_rate
H118,external_lung,seed42_main,source_disjoint,11,280,131,0.7767815974179005,0.9054254828628516,0.1286438854449511,0.11816947589528154,0.01047440954966955,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2857142857142857,0.475,0.19642857142857142
H118,external_lung,seed42_main,target_disjoint,11,280,176,0.8012456293706295,0.9169580419580419,0.11571241258741238,0.12273819930069925,-0.007025786713286866,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.35714285714285715,0.58,0.4607142857142857
H118,immune,seed42_main,source_disjoint,11,280,69,0.8533553128648945,0.9245140462943884,0.07115873342949386,0.07468232708290404,-0.0035235936534101786,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.16428571428571428,0.5434782608695652,0.17142857142857143
H118,immune,seed42_main,target_disjoint,11,280,68,0.8778440621531631,0.9488762486126526,0.0710321864594895,0.07396642619311883,-0.002934239733629329,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.15,0.6190476190476191,0.23214285714285715
H118,lung,seed42_main,source_disjoint,11,280,134,0.7423839705581681,0.8826927008791657,0.14030873032099767,0.1352535268861173,0.005055203434880362,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.30714285714285716,0.4186046511627907,0.525
H118,lung,seed42_main,target_disjoint,11,280,173,0.8237264329317703,0.9185349251796229,0.0948084922478526,0.09531359732051214,-0.0005051050726595507,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.3607142857142857,0.5544554455445545,0.35
H118,external_lung,seed43,source_disjoint,11,280,125,0.8075354838709677,0.9005935483870967,0.09305806451612897,0.10120258064516129,-0.008144516129032317,0.9090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.25,0.5571428571428572,0.4714285714285714
H118,external_lung,seed43,target_disjoint,11,280,179,0.8072902262293269,0.9134354776259748,0.10614525139664788,0.10712705348747155,-0.0009818020908236719,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.39285714285714285,0.5272727272727272,0.2642857142857143
H118,immune,seed43,source_disjoint,11,280,71,0.8898173731383516,0.9475705910101758,0.05775321787182419,0.05998045690410408,-0.002227239032279886,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.15714285714285714,0.5909090909090909,0.2785714285714286
H118,immune,seed43,target_disjoint,11,280,69,0.8681914966687272,0.9290473246788928,0.06085582801016565,0.06608283535957149,-0.005227007349405843,0.8181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.125,0.7142857142857143,0.18571428571428572
H118,lung,seed43,source_disjoint,11,280,135,0.7870753512132823,0.9277139208173693,0.14063856960408694,0.14666666666666672,-0.006028097062579785,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.31785714285714284,0.4044943820224719,0.3
H118,lung,seed43,target_disjoint,11,280,176,0.8085664335664337,0.9197443181818182,0.11117788461538458,0.10868662587412574,0.002491258741258842,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.37142857142857144,0.5576923076923077,0.32142857142857145
H118,external_lung,seed44,source_disjoint,11,280,121,0.8443786059566506,0.9297780549924632,0.08539944903581265,0.07316648474452922,0.012232964291283427,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.26071428571428573,0.6027397260273972,0.7821428571428571
H118,external_lung,seed44,target_disjoint,11,280,177,0.8069222752454611,0.9128956173550545,0.10597334210959342,0.10908342932367934,-0.003110087214085927,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.3821428571428571,0.5327102803738317,0.32142857142857145
H118,immune,seed44,source_disjoint,11,280,71,0.8434530628748569,0.9173798773502257,0.07392681447536886,0.07199272188152828,0.0019340925938405862,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.17142857142857143,0.6458333333333334,0.475
H118,immune,seed44,target_disjoint,11,280,69,0.8297273164365685,0.9043890377086338,0.07466172127206527,0.05136685211896428,0.023294869153100993,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.15,0.7142857142857143,0.55
H118,lung,seed44,source_disjoint,11,280,135,0.7910600255427842,0.9353256704980842,0.14426564495530003,0.1457956577266922,-0.0015300127713921696,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.32142857142857145,0.45555555555555555,0.41785714285714287
H118,lung,seed44,target_disjoint,11,280,167,0.8192464628265594,0.9230565417836893,0.1038100789571299,0.10514016215356878,-0.0013300831964388748,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.3678571428571429,0.6310679611650486,0.16071428571428573
