domain,split_regime,n_rows,mean_delta_vs_h70,mean_null_gap_q95,fraction_delta_positive,fraction_null_gap_positive,combined_fisher_p_best
external_lung,source_disjoint,1,-0.010219840116279078,-0.048180868459302334,0.0,0.0,0.4615384615384617
external_lung,target_disjoint,1,0.0013676664780231107,-0.002900396151669399,1.0,0.0,0.07692307692307693
immune,source_disjoint,1,-0.004224247178806317,-0.017862530927523906,0.0,0.0,0.6153846153846154
immune,target_disjoint,1,0.017500452597911997,-0.002021604007000216,1.0,0.0,0.07692307692307693
lung,source_disjoint,1,-0.01425103398669314,-0.04053902175867663,0.0,0.0,0.6923076923076923
lung,target_disjoint,1,0.013425586510264043,0.004868493401759627,1.0,1.0,0.07692307692307693
