domain,split_regime,n_rows,mean_delta_auc_semimarkov_minus_second_order,mean_delta_auc_semimarkov_minus_h70,mean_null_gap_q95_delta_auc,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,1,-0.01962053571428579,0.07852678571428562,-0.029869419642857296,0.0,0.0,0.0,0.19999999999999998
external_lung,target_disjoint,1,-0.02848086181419518,0.06480289813623141,-0.0427916011249344,0.0,0.0,0.0,0.24000000000000002
immune,source_disjoint,1,-0.05572829466634788,-0.007085625448457256,-0.07851590528581685,0.0,0.0,0.0,0.76
immune,target_disjoint,1,-0.06082915937481148,0.053044475288153925,-0.07272343250256487,0.0,0.0,0.0,0.72
lung,source_disjoint,1,-0.023027927486526156,0.13106320431161222,-0.03548171573649277,0.0,0.0,0.0,0.52
lung,target_disjoint,1,-0.040634547591069436,0.037015276145710985,-0.04691656874265572,0.0,0.0,0.0,0.36000000000000004
