domain,split_regime,n_rows,mean_delta_auc_id_hysteresis_minus_h70,mean_null_gap_q95_delta_auc,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,4,0.00221600389321458,-0.009187725945495023,0.25,0.25,0.0,0.28699171035951654
external_lung,target_disjoint,4,-0.0025672002416188555,-0.023921209604349118,0.25,0.0,0.0,0.24647385260788648
immune,source_disjoint,4,0.002294222305459226,-0.014031627493211081,0.25,0.0,0.0,0.24005981126101975
immune,target_disjoint,4,0.0002341043168836432,-0.020267581234197918,0.5,0.0,0.0,0.1527155214862129
lung,source_disjoint,4,-0.003895652173913161,-0.028582608695652267,0.25,0.0,0.0,0.16244880908601014
lung,target_disjoint,4,0.0032498531139835696,-0.015104013660399561,0.75,0.25,0.0,0.10028125261504368
