domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_deep_layer,auc_second_order_fsm,auc_semimarkov_bio_grammar,delta_auc_semimarkov_minus_second_order,delta_auc_semimarkov_minus_h70,q95_null_delta_auc,null_gap_q95_delta_auc,p_signature_shuffle_upper,p_layer_order_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,-1,300,140,0.8096875,0.9078348214285714,0.8882142857142856,-0.01962053571428579,0.07852678571428562,0.010248883928571505,-0.029869419642857296,0.2,0.36,0.48,0.2
external_lung,seed42_main,target_disjoint,-1,300,189,0.8364078364078364,0.929691596358263,0.9012107345440679,-0.02848086181419518,0.06480289813623141,0.014310739310739224,-0.0427916011249344,0.24,0.32,0.64,0.24
immune,seed42_main,source_disjoint,-1,300,74,0.8918619947381009,0.9405046639559915,0.8847763692896436,-0.05572829466634788,-0.007085625448457256,0.022787610619468972,-0.07851590528581685,0.92,0.76,0.92,0.76
immune,seed42_main,target_disjoint,-1,300,73,0.8428580049484038,0.9567316396113692,0.8959024802365577,-0.06082915937481148,0.053044475288153925,0.011894273127753383,-0.07272343250256487,0.72,0.76,0.76,0.72
lung,seed42_main,source_disjoint,-1,300,143,0.7710569685091977,0.9251481003073361,0.9021201728208099,-0.023027927486526156,0.13106320431161222,0.012453788249966609,-0.03548171573649277,0.6,0.52,0.76,0.52
lung,seed42_main,target_disjoint,-1,300,185,0.8642538190364277,0.9419036427732081,0.9012690951821387,-0.040634547591069436,0.037015276145710985,0.006282021151586282,-0.04691656874265572,0.36,0.56,0.76,0.36
