domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_defect,auc_id_hysteresis_blend,delta_auc_id_hysteresis_minus_h70,mean_node_hysteresis_area,mean_node_endpoint_gap,mean_node_flip_rate,q95_null_delta_auc,null_gap_q95_delta_auc,p_radius_order_upper,p_neighborhood_reshuffle_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,0,240,116,0.8562986651835373,0.8555339265850945,-0.0007647385984427268,20.008067886792958,9.443017381652965,0.44357541899441344,0.012409621802002113,-0.01317436040044484,0.7692307692307693,0.8461538461538461,0.5384615384615384,0.5384615384615384
external_lung,seed42_main,source_disjoint,3,240,116,0.8448275862068967,0.8665183537263625,0.02169076751946586,18.637349120533145,8.96726420860218,0.4737430167597766,0.01948345383759717,0.002207313681868689,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693
external_lung,seed42_main,source_disjoint,7,240,116,0.8745828698553949,0.8687778086763069,-0.005805061179087967,16.695491047650115,7.148895416142631,0.4480446927374301,0.006465517241379309,-0.012270578420467276,0.6923076923076923,0.7692307692307693,0.6153846153846154,0.6153846153846154
external_lung,seed42_main,source_disjoint,11,240,116,0.7582035595105673,0.7519466073414904,-0.006256952169076846,14.887563431034282,5.189097775582404,0.4446927374301676,0.00725632647385982,-0.013513278642936666,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.3076923076923077
external_lung,seed42_main,target_disjoint,0,240,154,0.8767743884022954,0.8663545756569012,-0.010419812745394164,20.585816590101114,7.723044913255838,0.42,0.02631380247659318,-0.03673361522198734,0.3076923076923077,0.8461538461538461,0.8461538461538461,0.3076923076923077
external_lung,seed42_main,target_disjoint,3,240,154,0.8733766233766235,0.8829658713379643,0.009589247961340863,19.079920221630665,7.4986816674169,0.45,0.013270160072485604,-0.0036809121111447407,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.07692307692307693
external_lung,seed42_main,target_disjoint,7,240,154,0.873301117487164,0.866279069767442,-0.0070220477197220355,17.771946985911537,7.819626202808547,0.428888888888889,0.013081395348837122,-0.020103443068559157,0.6923076923076923,0.46153846153846156,0.6153846153846154,0.46153846153846156
external_lung,seed42_main,target_disjoint,11,240,154,0.799154334038055,0.7967381455753549,-0.0024161884627000862,15.881115850425061,6.013706357800566,0.45333333333333337,0.032750679553005146,-0.03516686801570523,1.0,0.6923076923076923,0.5384615384615384,0.5384615384615384
immune,seed42_main,source_disjoint,0,240,59,0.9246184099634798,0.923401067515685,-0.0012173424477948114,20.11964690353384,7.454813849946982,0.4144444444444444,0.0014514467646783435,-0.002668789212473155,0.5384615384615384,0.38461538461538464,0.15384615384615385,0.15384615384615385
immune,seed42_main,source_disjoint,3,240,59,0.8396853637981084,0.8703998501732371,0.030714486375128636,19.280961813016177,8.62052361620341,0.4466666666666667,0.039891375596965956,-0.00917688922183732,0.23076923076923078,0.07692307692307693,0.38461538461538464,0.07692307692307693
immune,seed42_main,source_disjoint,7,240,59,0.86421949620751,0.8504541623747541,-0.01376533383275591,17.186215006276296,7.3837155730703445,0.4388888888888889,-0.0005501451446763284,-0.013215188688079582,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
immune,seed42_main,source_disjoint,11,240,59,0.8757374285981834,0.8691825077254424,-0.00655492087274101,17.187656237476705,7.433621282845497,0.4422222222222222,0.024510721977713257,-0.031065642850454267,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.7692307692307693
immune,seed42_main,target_disjoint,0,240,59,0.9290195711208915,0.9325779567375223,0.0035583856166307992,57.8948960827734,48.13789894783109,0.5911111111111111,0.03392171551643405,-0.030363329899803254,0.3076923076923077,0.5384615384615384,0.46153846153846156,0.3076923076923077
immune,seed42_main,target_disjoint,3,240,59,0.8713362674407716,0.8795767393950745,0.008240471954302886,18.27262129484041,8.040333172666392,0.38,0.017862159378218917,-0.009621687423916031,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385
immune,seed42_main,target_disjoint,7,240,59,0.8802322314823485,0.8700252832662234,-0.010206948216125111,15.574725372960483,6.462393947833969,0.38777777777777783,0.011494521958984899,-0.02170147017511001,0.9230769230769231,0.9230769230769231,0.6923076923076923,0.6923076923076923
immune,seed42_main,target_disjoint,11,240,59,0.866747822829853,0.866092330742579,-0.0006554920872740011,16.03987297170054,7.645086024961167,0.38111111111111107,0.018728345350688375,-0.019383837437962376,0.07692307692307693,0.5384615384615384,0.23076923076923078,0.07692307692307693
lung,seed42_main,source_disjoint,0,240,115,0.8350608695652175,0.8567652173913042,0.021704347826086656,18.392552248876473,8.742030599946133,0.39888268156424583,0.02911304347826077,-0.007408695652174113,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.07692307692307693
lung,seed42_main,source_disjoint,3,240,115,0.8346434782608696,0.8192695652173912,-0.015373913043478349,16.663199901332902,6.152390430354472,0.3776536312849162,0.013547826086956566,-0.028921739130434915,0.8461538461538461,0.9230769230769231,0.3076923076923077,0.3076923076923077
lung,seed42_main,source_disjoint,7,240,115,0.7917217391304348,0.7755826086956521,-0.016139130434782656,14.128255776171484,5.5459886972412,0.3955307262569833,0.02676521739130433,-0.042904347826086986,0.9230769230769231,0.9230769230769231,0.38461538461538464,0.38461538461538464
lung,seed42_main,source_disjoint,11,240,115,0.8020869565217391,0.7963130434782608,-0.005773913043478296,14.32748207994211,6.692265294933063,0.40111731843575427,0.02932173913043476,-0.035095652173913056,0.7692307692307693,0.3076923076923077,0.38461538461538464,0.3076923076923077
lung,seed42_main,target_disjoint,0,240,148,0.8931404230317274,0.8953437132784959,0.0022032902467685744,18.159864653749775,8.455056952604215,0.4350282485875706,0.018195505287896624,-0.01599221504112805,0.46153846153846156,0.15384615384615385,0.38461538461538464,0.15384615384615385
lung,seed42_main,target_disjoint,3,240,148,0.8832256169212691,0.8870446533490012,0.00381903642773207,17.43176311385745,7.615201444847481,0.3898305084745763,0.017185663924794342,-0.013366627497062272,0.5384615384615384,0.15384615384615385,0.6923076923076923,0.15384615384615385
lung,seed42_main,target_disjoint,7,240,148,0.8380581668625147,0.8612661574618096,0.023207990599294903,17.10136125433476,7.200068782217617,0.4135593220338984,0.02309782608695668,0.00011016451233822333,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
lung,seed42_main,target_disjoint,11,240,148,0.8083871915393654,0.7921562867215042,-0.01623090481786127,15.10106534486632,7.551615300519697,0.40790960451977404,0.014936471797884876,-0.031167376615746145,0.7692307692307693,0.9230769230769231,0.6923076923076923,0.6923076923076923
