domain,split_regime,n_rows,mean_delta_long_bar_mass_positive_minus_negative,mean_birth_depth_entropy_gap,mean_null_gap_q95_delta_long_bar_mass,fraction_delta_positive,fraction_null_gap_positive,fraction_p_best_lt_0_05,combined_fisher_p_best
external_lung,source_disjoint,1,-159.66666666666666,-0.0002932029320199536,-295.0666666666666,0.0,0.0,0.0,0.14285714285714282
external_lung,target_disjoint,1,2.6666666666666665,-9.860478185030885e-05,-316.1666666666665,1.0,0.0,0.0,0.7142857142857144
immune,source_disjoint,1,-329.3333333333333,-1.1475658987070148e-05,-181.11666666666662,0.0,0.0,0.0,0.14285714285714282
immune,target_disjoint,1,-496.6666666666667,8.90610618720089e-06,-369.83333333333326,0.0,0.0,0.0,0.14285714285714282
lung,source_disjoint,1,-202.0,0.00012255979535091832,-407.0833333333333,0.0,0.0,0.0,0.14285714285714282
lung,target_disjoint,1,252.66666666666666,-0.00014802516743173122,-105.01666666666662,1.0,0.0,0.0,0.8571428571428572
