domain,seed_tag,split_regime,layer,n_union_genes,n_pos_genes,n_neg_genes,mean_long_bar_mass_positive,mean_long_bar_mass_negative,delta_long_bar_mass_positive_minus_negative,birth_depth_entropy_positive,birth_depth_entropy_negative,birth_depth_entropy_gap,q95_null_delta_long_bar_mass,null_gap_q95_delta_long_bar_mass,p_layer_order_upper,p_degree_relabel_upper,p_label_shuffle_upper,p_best_upper
external_lung,seed42_main,source_disjoint,-1,129,114,123,1857.6666666666667,2017.3333333333333,-159.66666666666666,1.0979468291901302,1.0982400321221502,-0.0002932029320199536,135.39999999999992,-295.0666666666666,0.2857142857142857,0.14285714285714285,1.0,0.14285714285714285
external_lung,seed42_main,target_disjoint,-1,130,122,122,2033.3333333333333,2030.6666666666667,2.6666666666666665,1.0983326993152602,1.0984313040971105,-9.860478185030885e-05,318.8333333333332,-316.1666666666665,0.7142857142857143,0.8571428571428571,1.0,0.7142857142857143
immune,seed42_main,source_disjoint,-1,130,112,130,1785.0,2114.3333333333335,-329.3333333333333,1.0985584267502126,1.0985699024091997,-1.1475658987070148e-05,-148.2166666666667,-181.11666666666662,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285
immune,seed42_main,target_disjoint,-1,130,105,130,1726.6666666666667,2223.3333333333335,-496.6666666666667,1.0985189255044274,1.0985100193982402,8.90610618720089e-06,-126.8333333333334,-369.83333333333326,0.2857142857142857,0.14285714285714285,1.0,0.14285714285714285
lung,seed42_main,source_disjoint,-1,128,112,121,1922.3333333333333,2124.3333333333335,-202.0,1.0985183403632077,1.0983957805678568,0.00012255979535091832,205.08333333333331,-407.0833333333333,0.2857142857142857,0.14285714285714285,1.0,0.14285714285714285
lung,seed42_main,target_disjoint,-1,129,127,113,2120.6666666666665,1868.0,252.66666666666666,1.0983755197723357,1.0985235449397674,-0.00014802516743173122,357.6833333333333,-105.01666666666662,1.0,1.0,0.8571428571428571,0.8571428571428571
